labels,x,y,z
Fp1,83.93,29.39,-6.98
AF7,68.49,54.87,-10.59
AF3,76.78,33.71,21.22
F1,56.89,27.5,60.38
F3,53.11,50.22,42.2
F5,48.07,64.49,16.95
F7,42.53,70.23,-11.42
FT7,14.11,80.83,-11.14
FC5,18.68,77.2,24.43
FC3,22.74,60.19,55.54
FC1,26.03,34.05,79.93
C1,-9.72,36.27,89.76
C3,-11.53,65.42,64.37
C5,-13.72,80.27,29.16
T7,-16.35,84.12,-9.35
TP7,-45.32,85.24,-7.06
CP5,-46.11,79.86,31.03
CP3,-46.58,64.11,65.79
CP1,-47.28,35.63,91.52
P1,-80.36,29.25,75.39
P3,-78.58,53,55.83
P5,-77.05,66.98,28.51
P7,-72.81,72.81,-2.48
P9,-73.63,73.63,-41.23
PO7,-97.93,54.28,2.8
PO3,-101.23,36.84,37.3
O1,-112.69,30.19,8.87
Iz,-118.78,-1.45463546802723e-14,-23.09
Oz,-115.07,-1.40920107177886e-14,14.68
POz,-102.2,-1.25158902872859e-14,50.51
Pz,-81.31,-9.95760312386713e-15,82.74
CPz,-47.18,-5.77788359837721e-15,99.37
Fpz,88.28,-0.11,-1.71
Fp2,84.91,-29.9,-7.08
AF8,69.66,-55.81,-10.75
AF4,77.7,-35.74,21.96
Afz,80.76,-0.23,35.45
Fz,58.53,-0.31,66.38
F2,57.6,-29.48,59.5
F4,54.32,-51.91,40.8
F6,49.86,-67.88,16.37
F8,44.4,-73.02,-12
FT8,15.45,-81.79,-11.33
FC6,19.98,-79.56,24.45
FC4,23.68,-62.34,55.56
FC2,26.41,-34.79,78.8
FCz,27.44,-0.38,88.65
Cz,-9.14,-0.480000000000003,100.58
C2,-9.39000000000001,-37.67,88.45
C4,-10.87,-67.1,63.61
C6,-12.76,-83.41,29.22
T8,-15,-85.07,-9.49
TP8,-45.51,-85.59,-7.14
CP6,-46.08,-83.13,31.07
CP4,-46.42,-66.3,65.31
CP2,-47.12,-38.16,90.58
P2,-80.55,-32.55,76.86
P4,-79.13,-55.41,56.68
P6,-75.95,-68.38,28.15
P8,-72.81,-72.81,-2.53
P10,-74.34,-74.34,-41.41
PO8,-96.97,-55.98,2.72
PO4,-100.58,-36.61,36.23
O2,-111.73,-29.94,8.78
